message_id,action,message_type,reason,confidence,evidence_message_ids
msg_028,digest,promotion,The sender has a history of sending promotional content which the user has previously dismissed.,0.85,message_0034;message_0112;message_0111
msg_012,mute,forward,Highly forwarded message with no engagement history from the sender and repetitive content from the same sender.,0.85,message_0194;message_0193;message_0247
msg_064,mute,scam,"Risk signals indicate a likely scam pattern with urgency and payment ask, overriding personalization and engagement history.",0.85,message_0087;message_0184;message_0088
msg_103,digest,personal,Strong evidence from past messages from the same sender that they typically send personal check-ins.,0.8,message_0065;message_0049;message_0390
msg_031,notify,urgent,Direct mention of a specific action item with a deadline and a request for immediate response,0.85,none
msg_057,notify,urgent,Direct mention in a group with admin sender and user has replied to similar messages before,0.85,message_0003;message_0169;message_0059
msg_087,digest,promotion,User has previously dismissed similar promotional content from this sender.,0.85,message_0391;message_0389;message_0164
msg_067,notify,business_update,"The sender is an admin in the group and the message is about a payment deadline, which is a common topic in this group.",0.85,message_0068;message_0098
msg_039,notify,urgent,"Direct mention in a group with admin role, asking for immediate action",0.9,message_0364
msg_082,notify,urgent,"The message is from an admin in a group the user is a member of, and the content indicates a time-sensitive issue.",0.95,message_0218
msg_066,digest,promotion,The user has previously dismissed similar promotional messages from this business.,0.85,message_0402;message_0257
msg_049,digest,business_update,"The user has previously opened and replied to similar messages from this business, indicating a pattern of engagement.",0.7,message_0154;message_0291;message_0153
msg_015,mute,scam,Risk signal 'asks_otp_or_pin' indicates a likely phishing pattern.,0.9,message_0045;message_0023
msg_051,digest,promotion,User has previously dismissed similar messages from the same sender.,0.85,message_0257;message_0402
msg_097,digest,personal,User has a history of dismissing similar messages from this sender and the message is not urgent.,0.85,message_0054;message_0226;message_0168
msg_089,digest,personal,"The sender has a history of sending promotional content, and the user has previously dismissed similar messages.",0.8,message_0301
msg_053,digest,business_update,"The sender has a history of sending market notes and research links, but the current message is not urgent or promotional.",0.7,message_0411;message_0253
msg_059,digest,promotion,"The sender has a history of sending promotional content, and this message asks for action with a time-sensitive deadline.",0.85,message_0173
msg_024,digest,promotion,User has previously dismissed similar promotional messages from this business.,0.85,message_0257;message_0402
msg_072,mute,scam,Risk signals indicate a likely scam/phishing pattern (asks OTP and has a URL) and evidence shows the user has previously dismissed similar messages from this sender.,0.95,message_0086;message_0085;message_0200
msg_036,mute,scam,"Risk signals indicate a likely scam pattern (business domain mismatch, unverified sender, high report counts) and evidence shows the user has previously dismissed a similar message from this sender.",0.95,message_0283
msg_076,mute,scam,Muted by safety rule: sender domain does not match the business's official domain; payment request from a very recently registered domain; sender has a high recent user-report count.,0.95,message_0207;message_0208;message_0159
msg_055,notify,urgent,Urgency language and direct request for immediate action from a known contact in a group conversation,0.9,none
msg_102,notify,business_update,"The sender has a history of sending similar messages to this user, which were always opened and replied to.",0.85,message_0371;message_0230
msg_080,notify,event,"The sender has a history of sending similar event announcements to this user, and this message is about a specific time-bound happening.",0.85,message_0410;message_0130;message_0150
msg_093,digest,business_update,"User has previously dismissed similar messages from this business, and the current message is not a promotion or event.",0.85,message_0349;message_0348;message_0347
msg_034,digest,greeting,User has muted this group and has previously dismissed similar generic greetings from the sender.,0.7,message_0013;message_0042
msg_035,digest,business_update,User has muted similar messages from this business before and has a history of dismissing messages from this business.,0.7,message_0281;message_0125;message_0126
msg_101,digest,personal,Strong evidence from prior messages from the same sender (u_054) that this user typically treats similar messages as personal and not urgent.,0.85,message_0370;message_0229;message_0268
msg_041,digest,business_update,"Business uses a mismatched domain and has a high report count, but the user has previously engaged with similar content from this business.",0.7,message_0138;message_0137
msg_011,digest,greeting,User has previously dismissed similar messages from the same sender.,0.85,message_0014;message_0077;message_0171
msg_110,mute,scam,Muted by safety rule: requests OTP/PIN alongside a link or payment.,0.95,message_0238;message_0381
msg_095,mute,scam,Muted by safety rule: requests OTP/PIN alongside a link or payment; urgency language combined with a payment/fee ask.,0.95,message_0087;message_0184;message_0088
msg_074,mute,promotion,"The sender has a history of sending promotional content, and the current message is a promotion with a clear call to action.",0.85,message_0301;message_0203;message_0204
msg_073,mute,scam,"Risk signals indicate a likely scam pattern (urgency language, highly forwarded, and risk score 1)",0.85,message_0087;message_0184;message_0088
msg_054,mute,promotion,"The message asks for a payment processing fee with a limited window, which is a common scam pattern.",0.85,message_0391;message_0389;message_0164
msg_068,digest,event,"The sender has a history of sending event announcements to this user, and the message text indicates a plan discussion with no urgency.",0.85,message_0192;message_0191;message_0010
msg_100,notify,urgent,Urgency language and repeated requests for urgent action from the same sender,0.85,message_0362;message_0228
msg_062,notify,event,Admin announcement in an active group with a clear event description,0.85,message_0043;message_0130
msg_096,digest,personal,"Bonjour, je suis a la reception de votre immeuble. Votre passeport a ete trouve dans le hall; merci de venir le recuperer avant 18h. is a generic greeting with no actionable content, but the user has a history of replying to messages from this sender.",0.6,none
msg_043,notify,event,"Admin emergency alert in a group the user is an admin of, with a clear time-sensitive message about a tanker leaving in 15 minutes.",0.85,message_0410;message_0130;message_0150
msg_077,notify,event,The sender is an admin in the group and the message is an event announcement with a specific date/time-bound happening.,0.95,message_0255;message_0037;message_0134
msg_081,notify,event,The message is from an admin in an active group and contains a specific date/time-bound happening.,0.85,message_0217;message_0255
msg_025,digest,business_update,"User has previously opened and replied to similar messages from this business, indicating a pattern of engagement.",0.8,message_0239;message_0004
msg_084,digest,promotion,"The sender has a history of sending promotional messages to this user, and the current message is a clear promotion.",0.85,message_0220
msg_022,notify,payment,"The message asks for payment and contains a link to complete the payment, which is a clear signal of a payment-related message.",0.85,message_0151
